GeneSymbol	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts
HNRNPL	51.25697550438409422	56.77857217288609348	174.39338049895334848	69.77231788757154618	96.70994368782147887	151.62807068936447763	70.83139602337791985	153.27328380355015724	119.94859405863141433	94.62915410172422526	0.00000000000000000	331.24338102691075392	78.55344890381539358	0.00000000000000000	63.44432206747381287	74.28473104766001711	58.98111907906865525	0.00000000000000000	130.09839093478959171	76.22611302320403581	60.24701043186836102	71.21587170736387407	182.55251145732503915	93.49721773149094872	73.28164349030382141	53.00937948569539770	75.57875317873542542
HNRNPUL1	61.22722035284310493	79.33153017757011582	276.80405941787620350	136.26471164680108927	274.29755183793412243	2.68075540974537807	97.01296705934649367	237.34627950959222176	190.66792522837798174	78.80707387340558512	35.51645013315134491	191.80741733522080494	69.24590454393431571	0.00000000000000000	98.82307506084754323	58.65955553499647834	53.23386550897246394	0.00000000000000000	256.32667749902384458	139.90869952927724285	60.53524741194144099	44.87811290799746189	281.81432540140872334	113.06613721674897022	26.21293015327470499	158.61352405269062160	52.01418414812505375
HOOK2	27.95821901515667562	31.42169029332593055	2.09133738014336057	30.17042141256783339	43.75716957836012000	96.31883531303482471	43.88474623356346171	22.03742618549227217	46.86957868514821968	26.93971255880898141	0.00000000000000000	166.78487369575742605	15.60275400035536286	37.90556765041092291	11.54554406997143090	91.20085298975361354	43.46465795347262429	0.00000000000000000	12.10068103146704210	0.02749307430135909	22.24873542459233988	16.70827689728536569	35.05439540959845601	51.53597300503877676	74.51616695278100622	0.00000000000000000	80.46142033980196118
HOPX	68.79446686043037573	0.00000000000000000	923.86283161171570555	51.50690449655714076	0.00000000000000000	721.47042804208172129	32.57544323666510877	0.00000000000000000	179.78366928408394187	2.15055619805221143	198.39427422065469386	636.20203410944100142	45.86360790315453784	4638.31602632394788088	43.99782321530364015	161.94275321776817123	30.31417156245457534	0.00000000000000000	157.84672597649216641	159.76130902532395339	25.64582015363981071	119.95827620496561394	613.55630162724764887	0.00000000000000000	139.27587773979453800	122.73281833458835877	26.34812385806761270
HOTAIRM1	0.00000000000000000	11.26335343900283803	8.16362430061225730	0.00000000000000000	0.00000000000000000	13.69091970830566041	0.46743071045788570	5.53510861398044351	5.92986362326239647	3.01889767610928672	0.00000000000000000	16.35394965129930966	0.54294380438249756	0.00000000000000000	0.00000000000000000	0.01153460138587111	0.53296944380356670	0.00000000000000000	2.95916399754111392	9.68244761353013494	7.00819963460292517	17.73771896475868814	8.68724564921009801	1.78145332569844372	0.00000000000000000	0.53432546975017470	1.40228096736484376
HPCAL1	6.95143211202652100	95.03886608318613582	71.82413589945367960	43.50047863271904447	90.95989061685530430	113.19948270094465670	13.00097719338085867	0.00000000000000000	16.94040569524070605	21.13160469478242831	0.00000000000000000	357.06208996078083828	58.58282460826412574	0.00000000000000000	16.10786325140861663	7.24706149539091538	0.87643500478154390	0.00000000000000000	45.69366254773959213	26.98949759369235935	49.45027670886275217	50.69951649511271796	65.56298665082300658	72.68095828837235217	0.00000000000000000	0.00000000000000000	91.17542097062786866
HPF1	24.99605422564081181	4.72494072151478051	4.55351224143176037	11.24659449930956434	0.00000000000000000	0.00000000000000000	0.00000000000000000	15.12752545519090042	0.00000000000000000	17.42582388686488315	0.00000000000000000	13.44967257666241167	21.09502948663919497	12.85110083311228024	19.86079932519220748	19.88113529018932013	33.63179178263330726	0.00000000000000000	6.77755294837155464	5.23837411251111718	8.68329341678581912	0.00000000000000000	9.61669381022994507	4.55929585102986312	7.57026794716572837	2.87922646368606960	13.32490895240861484
HPGD	104.21328754602114941	107.44911568564256754	48.24367255996130410	101.77214845900071793	0.00000000000000000	0.00000000000000000	97.13155214586041097	65.16870532185271259	0.00000000000000000	93.70568684521904856	0.00000000000000000	0.00000000000000000	101.06501881719074731	1721.10715797420357376	0.00000000000000000	225.82817035875351053	374.61658090890932726	969.42407045671620835	19.04664896984656153	0.00000000000000000	26.93627479898685806	105.32141956694943019	153.81474413092155373	90.94335839238208052	0.00000000000000000	90.43244384547412551	1992.54970534748645150
HPGDS	10.34288794449065740	0.00000000000000000	0.00000000000000000	1.45385363891051944	0.00000000000000000	0.00000000000000000	22.09264991164952008	0.00000000000000000	0.00000000000000000	209.45402801562599393	0.00000000000000000	0.00000000000000000	0.42900458785264939	0.00000000000000000	0.00000000000000000	9.60857641946227226	5.44599791446780213	0.00000000000000000	0.00000000000000000	0.00000000000000000	9.93288070114846633	0.87234524040727357	18.75754147337270794	4.48245432693343915	0.00000000000000000	0.00000000000000000	5.73936571153167296
HPRT1	23.44357999578869567	22.38880464758816657	20.19023640241721651	17.11508131334732496	10.79509567757225952	74.03540380801824483	21.27148811524395455	12.73527393158847865	23.74668478473878963	19.22990312269957869	0.00000000000000000	136.59921153291105611	26.56392276676355380	0.00000000000000000	15.28582121654245363	4.12018432684758373	5.84832342578385056	0.00000000000000000	18.81653971814250070	29.09943944380467684	29.08576809076025071	19.88083607130051433	24.95831133951910275	16.62537344533417638	51.47277220276703247	8.20961690644348607	9.55001610270223900
